x , Identifier 
:= , Assign 
2 , Number 
; , ; 
y , Identifier 
:= , Assign 
3 , Number 
; , ; 
z , Identifier 
:= , Assign 
5 , Number 
; , ; 
a , Identifier 
:= , Assign 
x , Identifier 
+ , + 
y , Identifier 
- , - 
z , Identifier 
; , ; 
if , if 
z , Identifier 
< , < 
8 , Number 
then , then 
repeat , repeat 
a , Identifier 
:= , Assign 
a , Identifier 
* , * 
2 , Number 
; , ; 
z , Identifier 
:= , Assign 
z , Identifier 
- , - 
1 , Number 
; , ; 
until , until 
z , Identifier 
= , = 
0 , Number 
; , ; 
write , write 
a , Identifier 
else , else 
read , read 
b , Identifier 
; , ; 
if , if 
b , Identifier 
= , = 
1 , Number 
then , then 
write , write 
b , Identifier 
* , * 
( , ( 
x , Identifier 
- , - 
y , Identifier 
) , ) 
else , else 
write , write 
a , Identifier 
end , end 
end , end 
; , ; 
write , write 
z , Identifier 
