read , read 
something , Identifier 
; , ; 
if , if 
something , Identifier 
= , = 
2 , Number 
then , then 
c , Identifier 
:= , Assign 
a , Identifier 
- , - 
9 , Number 
; , ; 
j , Identifier 
:= , Assign 
p , Identifier 
- , - 
o , Identifier 
- , - 
p , Identifier 
; , ; 
repeat , repeat 
d , Identifier 
:= , Assign 
l , Identifier 
- , - 
0 , Number 
; , ; 
n , Identifier 
:= , Assign 
k , Identifier 
- , - 
g , Identifier 
- , - 
t , Identifier 
; , ; 
until , until 
x , Identifier 
= , = 
5 , Number 
; , ; 
end , end 
; , ; 
write , write 
wow , Identifier 
